Merchant/Company,Start date,End date,Aggregation,Country codes
TurbiBRCOM,01/12/2018,31/12/2018,,
Company Account,Merchant Account,Country Code,Store,Terminal ID,Batch Number,Batch Closed Date,Payment Method,Creation Date,TimeZone,Journal Type,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Bank/Card Commission (NC),DCC Markup (NC),Num Txs
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-11-29,BRST,SettledInstallment,BRL,,552.29,0.02746745369280632,BRL,,0.00,15.17,,9
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-11-30,BRST,RefundedInstallment,BRL,275.31,,1.0,BRL,275.31,,,,2
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-12-03,BRST,RefundedInstallment,BRL,70.00,,1.0,BRL,70.00,,,,1
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-12-11,BRST,RefundedInstallment,BRL,12.42,,1.0,BRL,12.42,,,,1
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-12-14,BRST,RefundedInstallment,BRL,50.00,,1.0,BRL,50.00,,,,1
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,visa,2018-12-17,BRST,RefundedInstallment,BRL,157.99,,1.0,BRL,157.99,,,,1
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,,2018-12-25,BRST,Balancetransfer,,,,1.0,BRL,146.01,,,,1
TurbiBR,TurbiBRCOM,BR,,,57,2018-12-28 05:52:44.794,,2018-12-28,BRST,Balancetransfer,,,,1.0,BRL,,680.94,,,1
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,mc,2018-11-26,BRST,RefundedInstallment,BRL,50.03,,1.0,BRL,50.03,,,,1
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,mc,2018-11-26,BRST,SettledInstallment,BRL,,422.05,0.027484895154602538,BRL,,0.00,11.60,,5
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,mc,2018-11-27,BRST,RefundedInstallment,BRL,1349.42,,1.0,BRL,1349.42,,,,13
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,mc,2018-11-27,BRST,SettledInstallment,BRL,,2852.11,0.027498939381720912,BRL,,0.00,78.43,,25
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,mc,2018-11-28,BRST,RefundedInstallment,BRL,529.18,,1.0,BRL,529.18,,,,6
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,mc,2018-11-28,BRST,SettledInstallment,BRL,,2398.05,0.027497341590041906,BRL,,0.00,65.94,,26
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,mc,2018-11-29,BRST,RefundedInstallment,BRL,1533.91,,1.0000000000000002,BRL,1533.91,,,,8
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,mc,2018-11-29,BRST,SettledInstallment,BRL,,3367.23,0.4148157387526246,BRL,,1304.20,92.58,,25
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,,2018-12-25,BRST,Balancetransfer,,,,1.0,BRL,,229.46,,,1
TurbiBR,TurbiBRCOM,BR,,,56,2018-12-28 05:52:44.758,,2018-12-28,BRST,Balancetransfer,,,,1.0,BRL,,1928.88,,,1
TurbiBR,TurbiBRCOM,BR,,,55,2018-12-25 05:07:20.932,elo,2018-11-23,BRST,SettledInstallment,BRL,,19.84,0.02772177419354839,BRL,,0.00,0.55,,1
TurbiBR,TurbiBRCOM,BR,,,55,2018-12-25 05:07:20.932,elo,2018-11-25,BRST,SettledInstallment,BRL,,169.85,0.027494848395643215,BRL,,0.00,4.67,,2
TurbiBR,TurbiBRCOM,BR,,,55,2018-12-25 05:07:20.932,elo,2018-11-27,BRST,RefundedInstallment,BRL,83.45,,1.0,BRL,83.45,,,,1
TurbiBR,TurbiBRCOM,BR,,,55,2018-12-25 05:07:20.932,elo,2018-11-27,BRST,SettledInstallment,BRL,,51.79,0.02741842054450666,BRL,,0.00,1.42,,1
TurbiBR,TurbiBRCOM,BR,,,55,2018-12-25 05:07:20.932,,2018-12-25,BRST,Balancetransfer,,,,1.0,BRL,,83.45,,,1
TurbiBR,TurbiBRCOM,BR,,,54,2018-12-25 05:07:20.885,visa,2018-11-23,BRST,SettledInstallment,BRL,,1739.99,0.027482916568486025,BRL,,0.00,47.82,,23
TurbiBR,TurbiBRCOM,BR,,,54,2018-12-25 05:07:20.885,visa,2018-11-24,BRST,SettledInstallment,BRL,,1559.28,0.027487045302960342,BRL,,0.00,42.86,,18
TurbiBR,TurbiBRCOM,BR,,,54,2018-12-25 05:07:20.885,visa,2018-11-25,BRST,RefundedInstallment,BRL,96.00,,1.0,BRL,96.00,,,,1
TurbiBR,TurbiBRCOM,BR,,,54,2018-12-25 05:07:20.885,visa,2018-11-25,BRST,SettledInstallment,BRL,,2473.53,0.027495118312694813,BRL,,0.00,68.01,,16
TurbiBR,TurbiBRCOM,BR,,,54,2018-12-25 05:07:20.885,visa,2018-11-26,BRST,SettledInstallment,BRL,,1400.82,0.027498179637640813,BRL,,0.00,38.52,,13
TurbiBR,TurbiBRCOM,BR,,,54,2018-12-25 05:07:20.885,visa,2018-12-14,BRST,RefundedInstallment,BRL,50.01,,1.0,BRL,50.01,,,,1
TurbiBR,TurbiBRCOM,BR,,,54,2018-12-25 05:07:20.885,,2018-12-25,BRST,Balancetransfer,,,,1.0,BRL,,146.01,,,1
TurbiBR,TurbiBRCOM,BR,,,53,2018-12-25 05:07:20.537,amex,2018-11-24,BRST,SettledInstallment,BRL,,64.34,0.027510102580043518,BRL,,0.00,1.77,,1
TurbiBR,TurbiBRCOM,BR,,,53,2018-12-25 05:07:20.537,amex,2018-11-25,BRST,SettledInstallment,BRL,,544.47,0.027512994288023215,BRL,,0.00,14.98,,4
TurbiBR,TurbiBRCOM,BR,,,53,2018-12-25 05:07:20.537,amex,2018-11-26,BRST,SettledInstallment,BRL,,60.00,0.02733333333333333,BRL,,0.00,1.64,,2
TurbiBR,TurbiBRCOM,BR,,,53,2018-12-25 05:07:20.537,amex,2018-11-27,BRST,SettledInstallment,BRL,,49.36,0.02755267423014587,BRL,,0.00,1.36,,1
TurbiBR,TurbiBRCOM,BR,,,52,2018-12-25 05:07:20.518,mc,2018-11-23,BRST,RefundedInstallment,BRL,110.00,,1.0,BRL,110.00,,,,3
TurbiBR,TurbiBRCOM,BR,,,52,2018-12-25 05:07:20.518,mc,2018-11-23,BRST,SettledInstallment,BRL,,9483.86,0.09785256214241873,BRL,,667.27,260.75,,82
TurbiBR,TurbiBRCOM,BR,,,52,2018-12-25 05:07:20.518,mc,2018-11-24,BRST,RefundedInstallment,BRL,286.00,,1.0,BRL,286.00,,,,5
TurbiBR,TurbiBRCOM,BR,,,52,2018-12-25 05:07:20.518,mc,2018-11-24,BRST,SettledInstallment,BRL,,4244.05,0.19276634346909202,BRL,,701.44,116.67,,48
TurbiBR,TurbiBRCOM,BR,,,52,2018-12-25 05:07:20.518,mc,2018-11-25,BRST,SettledInstallment,BRL,,6327.21,0.027497111681135913,BRL,,0.00,173.98,,56
TurbiBR,TurbiBRCOM,BR,,,52,2018-12-25 05:07:20.518,mc,2018-11-26,BRST,RefundedInstallment,BRL,511.13,,1.0,BRL,511.13,,,,7
TurbiBR,TurbiBRCOM,BR,,,52,2018-12-25 05:07:20.518,mc,2018-11-26,BRST,SettledInstallment,BRL,,2488.30,0.02750070329140377,BRL,,0.00,68.43,,20
TurbiBR,TurbiBRCOM,BR,,,52,2018-12-25 05:07:20.518,,2018-12-25,BRST,Balancetransfer,,,,1.0,BRL,229.46,,,,1
TurbiBR,TurbiBRCOM,BR,,,52,2018-12-25 05:07:20.518,,2018-12-25,BRST,MerchantPayout,,,,1.0,BRL,232.12,,,,1
TurbiBR,TurbiBRCOM,BR,,,51,2018-12-25 05:07:20.452,visa,2018-12-19,BRST,Settled,BRL,,511.16,1.0,BRL,,497.10,14.06,,1
TurbiBR,TurbiBRCOM,BR,,,51,2018-12-25 05:07:20.452,,2018-12-25,BRST,MerchantPayout,,,,1.0,BRL,497.10,,,,1
TurbiBR,TurbiBRCOM,BR,,,50,2018-12-21 05:20:14.949,elo,2018-11-23,BRST,SettledInstallment,BRL,,220.58,0.027518360685465593,BRL,,0.00,6.07,,2
TurbiBR,TurbiBRCOM,BR,,,49,2018-12-21 05:20:14.916,mc,2018-11-19,BRST,SettledInstallment,BRL,,251.75,0.027487586891757697,BRL,,0.00,6.92,,3
TurbiBR,TurbiBRCOM,BR,,,49,2018-12-21 05:20:14.916,mc,2018-11-20,BRST,SettledInstallment,BRL,,2660.93,0.5713566309523364,BRL,,1447.20,73.14,,23
TurbiBR,TurbiBRCOM,BR,,,49,2018-12-21 05:20:14.916,mc,2018-11-21,BRST,RefundedInstallment,BRL,30.00,,1.0,BRL,30.00,,,,1
TurbiBR,TurbiBRCOM,BR,,,49,2018-12-21 05:20:14.916,mc,2018-11-21,BRST,SettledInstallment,BRL,,180.04,0.027493890246611863,BRL,,0.00,4.95,,2
TurbiBR,TurbiBRCOM,BR,,,49,2018-12-21 05:20:14.916,,2018-12-21,BRST,MerchantPayout,,,,1.0,BRL,1417.20,,,,1
TurbiBR,TurbiBRCOM,BR,,,48,2018-12-21 05:20:14.796,visa,2018-11-20,BRST,SettledInstallment,BRL,,664.76,0.027513689150971778,BRL,,0.00,18.29,,6
TurbiBR,TurbiBRCOM,BR,,,48,2018-12-21 05:20:14.796,visa,2018-11-21,BRST,SettledInstallment,BRL,,330.51,1.0,BRL,,321.42,9.09,,1
TurbiBR,TurbiBRCOM,BR,,,48,2018-12-21 05:20:14.796,,2018-12-18,BRST,Balancetransfer,,,,1.0,BRL,108.82,,,,1
TurbiBR,TurbiBRCOM,BR,,,48,2018-12-21 05:20:14.796,,2018-12-21,BRST,MerchantPayout,,,,1.0,BRL,212.60,,,,1
TurbiBR,TurbiBRCOM,BR,,,47,2018-12-21 05:20:14.736,amex,2018-11-23,BRST,SettledInstallment,BRL,,1993.05,0.9835879681894583,BRL,,1905.53,54.81,,15
TurbiBR,TurbiBRCOM,BR,,,47,2018-12-21 05:20:14.736,amex,2018-12-17,BRST,SettledInstallment,BRL,,83.71,1.0,BRL,,81.41,2.30,,1
TurbiBR,TurbiBRCOM,BR,,,47,2018-12-21 05:20:14.736,,2018-12-18,BRST,Balancetransfer,,,,1.0,BRL,,108.82,,,1
TurbiBR,TurbiBRCOM,BR,,,47,2018-12-21 05:20:14.736,,2018-12-21,BRST,MerchantPayout,,,,1.0,BRL,2095.76,,,,1
TurbiBR,TurbiBRCOM,BR,,,46,2018-12-18 06:29:22.465,elo,2018-11-19,BRST,SettledInstallment,BRL,,56.48,0.027443342776203968,BRL,,0.00,1.55,,1
TurbiBR,TurbiBRCOM,BR,,,45,2018-12-18 06:29:22.448,visa,2018-11-16,BRST,SettledInstallment,BRL,,308.99,0.027476617366257807,BRL,,0.00,8.49,,4
TurbiBR,TurbiBRCOM,BR,,,45,2018-12-18 06:29:22.448,visa,2018-11-17,BRST,SettledInstallment,BRL,,782.24,0.027485170791572918,BRL,,0.00,21.50,,7
TurbiBR,TurbiBRCOM,BR,,,45,2018-12-18 06:29:22.448,visa,2018-11-18,BRST,RefundedInstallment,BRL,108.82,,1.0,BRL,108.82,,,,1
TurbiBR,TurbiBRCOM,BR,,,45,2018-12-18 06:29:22.448,visa,2018-11-18,BRST,SettledInstallment,BRL,,664.67,0.027502369596942848,BRL,,0.00,18.28,,4
TurbiBR,TurbiBRCOM,BR,,,45,2018-12-18 06:29:22.448,visa,2018-11-19,BRST,SettledInstallment,BRL,,1669.27,0.027503040251127736,BRL,,0.00,45.91,,6
TurbiBR,TurbiBRCOM,BR,,,45,2018-12-18 06:29:22.448,,2018-12-18,BRST,Balancetransfer,,,,1.0,BRL,,108.82,,,1
TurbiBR,TurbiBRCOM,BR,,,44,2018-12-18 06:29:22.3,amex,2018-11-16,BRST,SettledInstallment,BRL,,1288.28,1.0,BRL,,1252.85,35.43,,1
TurbiBR,TurbiBRCOM,BR,,,44,2018-12-18 06:29:22.3,amex,2018-11-18,BRST,SettledInstallment,BRL,,189.56,0.02748470141380038,BRL,,0.00,5.21,,1
TurbiBR,TurbiBRCOM,BR,,,44,2018-12-18 06:29:22.3,,2018-12-18,BRST,Balancetransfer,,,,1.0,BRL,108.82,,,,1
TurbiBR,TurbiBRCOM,BR,,,44,2018-12-18 06:29:22.3,,2018-12-18,BRST,MerchantPayout,,,,1.0,BRL,1144.03,,,,1
TurbiBR,TurbiBRCOM,BR,,,43,2018-12-18 06:29:22.232,mc,2018-11-15,BRST,SettledInstallment,BRL,,763.57,0.027502390088662468,BRL,,0.00,21.00,,6
TurbiBR,TurbiBRCOM,BR,,,43,2018-12-18 06:29:22.232,mc,2018-11-16,BRST,RefundedInstallment,BRL,60.00,,1.0,BRL,60.00,,,,2
TurbiBR,TurbiBRCOM,BR,,,43,2018-12-18 06:29:22.232,mc,2018-11-16,BRST,SettledInstallment,BRL,,1555.00,0.027485530546623796,BRL,,0.00,42.74,,20
TurbiBR,TurbiBRCOM,BR,,,43,2018-12-18 06:29:22.232,mc,2018-11-17,BRST,SettledInstallment,BRL,,2178.84,0.027496282425510818,BRL,,0.00,59.91,,14
TurbiBR,TurbiBRCOM,BR,,,43,2018-12-18 06:29:22.232,mc,2018-11-18,BRST,RefundedInstallment,BRL,183.60,,1.0,BRL,183.60,,,,2
TurbiBR,TurbiBRCOM,BR,,,43,2018-12-18 06:29:22.232,mc,2018-11-18,BRST,SettledInstallment,BRL,,4199.90,0.1912902688159242,BRL,,687.90,115.50,,23
TurbiBR,TurbiBRCOM,BR,,,43,2018-12-18 06:29:22.232,mc,2018-11-19,BRST,RefundedInstallment,BRL,13.21,,1.0,BRL,13.21,,,,1
TurbiBR,TurbiBRCOM,BR,,,43,2018-12-18 06:29:22.232,mc,2018-11-19,BRST,SettledInstallment,BRL,,1864.59,0.0275127507923994,BRL,,0.00,51.30,,9
TurbiBR,TurbiBRCOM,BR,,,43,2018-12-18 06:29:22.232,,2018-12-18,BRST,MerchantPayout,,,,1.0,BRL,431.09,,,,1
TurbiBR,TurbiBRCOM,BR,,,42,2018-12-14 05:02:20.6,visa,2018-12-07,BRST,Settled,BRL,,108.00,1.0,BRL,,105.03,2.97,,1
TurbiBR,TurbiBRCOM,BR,,,42,2018-12-14 05:02:20.6,,2018-12-14,BRST,MerchantPayout,,,,1.0,BRL,105.03,,,,1
TurbiBR,TurbiBRCOM,BR,,,41,2018-12-14 05:02:20.352,visa,2018-11-13,BRST,SettledInstallment,BRL,,334.09,0.9999999999999998,BRL,,324.91,9.18,,5
TurbiBR,TurbiBRCOM,BR,,,41,2018-12-14 05:02:20.352,visa,2018-11-14,BRST,SettledInstallment,BRL,,180.40,0.1892461197339246,BRL,,29.18,4.96,,2
TurbiBR,TurbiBRCOM,BR,,,41,2018-12-14 05:02:20.352,visa,2018-11-15,BRST,SettledInstallment,BRL,,332.06,1.0,BRL,,322.92,9.14,,4
TurbiBR,TurbiBRCOM,BR,,,41,2018-12-14 05:02:20.352,,2018-12-14,BRST,MerchantPayout,,,,1.0,BRL,677.01,,,,1
TurbiBR,TurbiBRCOM,BR,,,40,2018-12-14 05:02:20.231,,2018-12-11,BRST,Balancetransfer,,,,1.0,BRL,,204.03,,,1
TurbiBR,TurbiBRCOM,BR,,,40,2018-12-14 05:02:20.231,,2018-12-14,BRST,MerchantPayout,,,,1.0,BRL,204.03,,,,1
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,mc,2018-11-11,BRST,SettledInstallment,BRL,,55.61,1.0,BRL,,54.08,1.53,,1
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,mc,2018-11-12,BRST,SettledInstallment,BRL,,394.79,1.0000000000000002,BRL,,383.93,10.86,,4
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,mc,2018-11-13,BRST,RefundedInstallment,BRL,30.00,,1.0,BRL,30.00,,,,1
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,mc,2018-11-13,BRST,SettledInstallment,BRL,,375.56,1.0,BRL,,365.25,10.31,,10
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,mc,2018-11-14,BRST,RefundedInstallment,BRL,260.40,,1.0,BRL,260.40,,,,4
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,mc,2018-11-14,BRST,SettledInstallment,BRL,,1115.36,1.0000000000000002,BRL,,1084.70,30.66,,15
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,mc,2018-11-15,BRST,RefundedInstallment,BRL,60.48,,1.0,BRL,60.48,,,,1
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,mc,2018-11-15,BRST,SettledInstallment,BRL,,1012.79,0.8956940728087757,BRL,,879.33,27.82,,16
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,,2018-12-11,BRST,Balancetransfer,,,,1.0,BRL,366.11,,,,1
TurbiBR,TurbiBRCOM,BR,,,39,2018-12-14 05:02:19.873,,2018-12-14,BRST,MerchantPayout,,,,1.0,BRL,2050.30,,,,1
TurbiBR,TurbiBRCOM,BR,,,38,2018-12-11 04:18:03.922,elo,2018-11-10,BRST,SettledInstallment,BRL,,54.33,1.0,BRL,,52.84,1.49,,1
TurbiBR,TurbiBRCOM,BR,,,38,2018-12-11 04:18:03.922,elo,2018-11-12,BRST,SettledInstallment,BRL,,308.92,1.0,BRL,,300.43,8.49,,2
TurbiBR,TurbiBRCOM,BR,,,38,2018-12-11 04:18:03.922,,2018-12-11,BRST,Balancetransfer,,,,1.0,BRL,204.03,,,,1
TurbiBR,TurbiBRCOM,BR,,,38,2018-12-11 04:18:03.922,,2018-12-11,BRST,MerchantPayout,,,,1.0,BRL,149.24,,,,1
TurbiBR,TurbiBRCOM,BR,,,37,2018-12-11 04:18:03.806,visa,2018-11-10,BRST,SettledInstallment,BRL,,40.54,1.0,BRL,,39.43,1.11,,1
TurbiBR,TurbiBRCOM,BR,,,37,2018-12-11 04:18:03.806,visa,2018-11-11,BRST,SettledInstallment,BRL,,511.23,1.0000000000000002,BRL,,497.18,14.05,,4
TurbiBR,TurbiBRCOM,BR,,,37,2018-12-11 04:18:03.806,visa,2018-11-12,BRST,SettledInstallment,BRL,,58.15,1.0,BRL,,56.55,1.60,,1
TurbiBR,TurbiBRCOM,BR,,,37,2018-12-11 04:18:03.806,,2018-12-07,BRST,Balancetransfer,,,,1.0,BRL,,142.13,,,1
TurbiBR,TurbiBRCOM,BR,,,37,2018-12-11 04:18:03.806,,2018-12-11,BRST,MerchantPayout,,,,1.0,BRL,735.29,,,,1
TurbiBR,TurbiBRCOM,BR,,,36,2018-12-11 04:18:03.558,amex,2018-11-12,BRST,SettledInstallment,BRL,,87.68,1.0,BRL,,85.27,2.41,,1
TurbiBR,TurbiBRCOM,BR,,,36,2018-12-11 04:18:03.558,amex,2018-11-13,BRST,SettledInstallment,BRL,,30.00,1.0,BRL,,29.18,0.82,,1
TurbiBR,TurbiBRCOM,BR,,,36,2018-12-11 04:18:03.558,,2018-12-07,BRST,Balancetransfer,,,,1.0,BRL,,110.01,,,1
TurbiBR,TurbiBRCOM,BR,,,36,2018-12-11 04:18:03.558,,2018-12-11,BRST,MerchantPayout,,,,1.0,BRL,224.46,,,,1
TurbiBR,TurbiBRCOM,BR,,,35,2018-12-11 04:18:03.478,mc,2018-11-09,BRST,RefundedInstallment,BRL,30.00,,1.0,BRL,30.00,,,,1
TurbiBR,TurbiBRCOM,BR,,,35,2018-12-11 04:18:03.478,mc,2018-11-09,BRST,SettledInstallment,BRL,,349.29,1.0,BRL,,339.71,9.58,,10
TurbiBR,TurbiBRCOM,BR,,,35,2018-12-11 04:18:03.478,mc,2018-11-10,BRST,SettledInstallment,BRL,,885.26,0.9999999999999999,BRL,,860.93,24.33,,9
TurbiBR,TurbiBRCOM,BR,,,35,2018-12-11 04:18:03.478,mc,2018-11-11,BRST,SettledInstallment,BRL,,1736.47,1.0000000000000002,BRL,,1688.71,47.76,,13
TurbiBR,TurbiBRCOM,BR,,,35,2018-12-11 04:18:03.478,mc,2018-11-12,BRST,SettledInstallment,BRL,,609.79,0.9999999999999998,BRL,,593.02,16.77,,6
TurbiBR,TurbiBRCOM,BR,,,35,2018-12-11 04:18:03.478,,2018-12-07,BRST,Balancetransfer,,,,1.0,BRL,3818.48,,,,1
TurbiBR,TurbiBRCOM,BR,,,35,2018-12-11 04:18:03.478,,2018-12-11,BRST,Balancetransfer,,,,1.0,BRL,,366.11,,,1
TurbiBR,TurbiBRCOM,BR,,,34,2018-12-07 05:09:28.225,visa,2018-11-06,BRST,RefundedInstallment,BRL,23.40,,1.0,BRL,23.40,,,,1
TurbiBR,TurbiBRCOM,BR,,,34,2018-12-07 05:09:28.225,visa,2018-11-06,BRST,SettledInstallment,BRL,,28.72,1.0,BRL,,27.93,0.79,,1
TurbiBR,TurbiBRCOM,BR,,,34,2018-12-07 05:09:28.225,visa,2018-11-07,BRST,SettledInstallment,BRL,,26.16,1.0,BRL,,25.44,0.72,,1
TurbiBR,TurbiBRCOM,BR,,,34,2018-12-07 05:09:28.225,visa,2018-11-08,BRST,SettledInstallment,BRL,,115.33,1.0,BRL,,112.16,3.17,,1
TurbiBR,TurbiBRCOM,BR,,,34,2018-12-07 05:09:28.225,,2018-12-07,BRST,Balancetransfer,,,,1.0,BRL,142.13,,,,1
TurbiBR,TurbiBRCOM,BR,,,33,2018-12-07 05:09:28.193,amex,2018-11-07,BRST,SettledInstallment,BRL,,113.12,1.0,BRL,,110.01,3.11,,1
TurbiBR,TurbiBRCOM,BR,,,33,2018-12-07 05:09:28.193,,2018-12-07,BRST,Balancetransfer,,,,1.0,BRL,110.01,,,,1
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,mc,2018-11-05,BRST,RefundedInstallment,BRL,30.00,,1.0,BRL,30.00,,,,1
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,mc,2018-11-05,BRST,SettledInstallment,BRL,,110.49,1.0,BRL,,107.46,3.03,,2
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,mc,2018-11-06,BRST,RefundedInstallment,BRL,153.84,,1.0,BRL,153.84,,,,5
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,mc,2018-11-06,BRST,SettledInstallment,BRL,,335.38,1.0,BRL,,326.18,9.20,,10
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,mc,2018-11-07,BRST,RefundedInstallment,BRL,304.93,,1.0,BRL,304.93,,,,5
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,mc,2018-11-07,BRST,SettledInstallment,BRL,,360.06,1.0,BRL,,350.17,9.89,,7
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,mc,2018-11-08,BRST,RefundedInstallment,BRL,30.00,,1.0,BRL,30.00,,,,1
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,mc,2018-11-08,BRST,SettledInstallment,BRL,,411.41,1.0,BRL,,400.10,11.31,,3
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,,2018-12-05,BRST,InvoiceDeduction,,,,1.0,BRL,4483.62,,,,1
TurbiBR,TurbiBRCOM,BR,,,32,2018-12-07 05:09:28.156,,2018-12-07,BRST,Balancetransfer,,,,1.0,BRL,,3818.48,,,1
